Package ; Energy consumption CPU (J) ; Energy consumption core (J) ; Empty 1 ; Empty 2 ; Time (sec)
fannkuch-redux ; 367.352905273437500000, 357.230957031250000000,  ,  ,  5963.06 
fannkuch-redux ; 392.360534667968750000, 381.773925781250000000,  ,  ,  6384.6 
fannkuch-redux ; 402.741271972656250000, 390.995178222656250000,  ,  ,  6518.31 
fannkuch-redux ; 371.341674804687500000, 361.316650390625000000,  ,  ,  5940.52 
fannkuch-redux ; 391.343078613281250000, 380.533203125000000000,  ,  ,  6372.98 
fannkuch-redux ; 376.885070800781250000, 366.056762695312500000,  ,  ,  6367.79 
fannkuch-redux ; 376.354187011718750000, 365.390502929687500000,  ,  ,  6424.52 
fannkuch-redux ; 348.978027343750000000, 338.718444824218750000,  ,  ,  6023.76 
fannkuch-redux ; 371.118896484375000000, 360.163146972656250000,  ,  ,  6407.41 
fannkuch-redux ; 339.139404296875000000, 329.058105468750000000,  ,  ,  5906.08 
binary-trees ; 104.367919921875000000, 98.352600097656250000,  ,  ,  2098.82 
binary-trees ; 103.513427734375000000, 97.559204101562500000,  ,  ,  2066.01 
binary-trees ; 104.434448242187500000, 98.402954101562500000,  ,  ,  2091.85 
binary-trees ; 105.511596679687500000, 99.522460937500000000,  ,  ,  2079.63 
binary-trees ; 105.078308105468750000, 99.055969238281250000,  ,  ,  2090.36 
binary-trees ; 107.418151855468750000, 101.392089843750000000,  ,  ,  2092.99 
binary-trees ; 108.352355957031250000, 102.245056152343750000,  ,  ,  2125.2 
binary-trees ; 106.197814941406250000, 100.167236328125000000,  ,  ,  2089.89 
binary-trees ; 109.872131347656250000, 103.663208007812500000,  ,  ,  2167.04 
binary-trees ; 107.620971679687500000, 101.527832031250000000,  ,  ,  2128.83 
mandelbrot ; 110.252624511718750000, 106.808959960937500000,  ,  ,  2014.99 
mandelbrot ; 107.509521484375000000, 104.185363769531250000,  ,  ,  1936.07 
mandelbrot ; 111.780639648437500000, 108.336608886718750000,  ,  ,  2005.09 
mandelbrot ; 110.368041992187500000, 106.924255371093750000,  ,  ,  2000.02 
mandelbrot ; 109.942565917968750000, 106.511962890625000000,  ,  ,  1996.93 
mandelbrot ; 111.559204101562500000, 108.125610351562500000,  ,  ,  2006.82 
mandelbrot ; 108.733398437500000000, 105.360107421875000000,  ,  ,  1951.17 
mandelbrot ; 107.875061035156250000, 104.509948730468750000,  ,  ,  1959.74 
mandelbrot ; 109.581848144531250000, 106.177062988281250000,  ,  ,  1972.44 
mandelbrot ; 111.655395507812500000, 108.205810546875000000,  ,  ,  2005.68 
spectral-norm ; 29.870483398437500000, 28.590820312500000000,  ,  ,  750.793 
spectral-norm ; 30.461486816406250000, 29.161865234375000000,  ,  ,  759.101 
spectral-norm ; 30.317504882812500000, 29.043701171875000000,  ,  ,  749.129 
spectral-norm ; 30.342041015625000000, 29.051086425781250000,  ,  ,  757.297 
spectral-norm ; 30.153320312500000000, 28.881835937500000000,  ,  ,  752.422 
spectral-norm ; 30.315185546875000000, 29.034057617187500000,  ,  ,  751.085 
spectral-norm ; 30.567382812500000000, 29.282226562500000000,  ,  ,  753.76 
spectral-norm ; 30.627441406250000000, 29.336242675781250000,  ,  ,  759.299 
spectral-norm ; 30.064392089843750000, 28.800354003906250000,  ,  ,  744.745 
spectral-norm ; 30.334045410156250000, 29.065063476562500000,  ,  ,  749.197 
