binary-trees ; 0.000000000000000000, 0.000000000000000000,  ,  ,  980.987 
binary-trees ; 0.000000000000000000, 0.000000000000000000,  ,  ,  379.84 
binary-trees ; 0.000000000000000000, 0.000000000000000000,  ,  ,  326.61 
binary-trees ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1133.63 
binary-trees ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1527.13 
binary-trees ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1725.06 
binary-trees ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1345.1 
binary-trees ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1189.08 
binary-trees ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1328.9 
binary-trees ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1150.15 
